fname,start,stop,duration(s)
20220521104225_000319.MP4,2022-05-21 10:42:19,2022-05-21 10:52:19,600
20220521105225_000320.MP4,2022-05-21 10:52:19,2022-05-21 11:02:19,600
20220521110225_000321.MP4,2022-05-21 11:02:19,2022-05-21 11:12:19,600
20220521111225_000322.MP4,2022-05-21 11:12:19,2022-05-21 11:22:19,600
20220521112225_000323.MP4,2022-05-21 11:22:19,2022-05-21 11:32:19,600
20220521113225_000324.MP4,2022-05-21 11:32:19,2022-05-21 11:42:19,600
20220521114225_000325.MP4,2022-05-21 11:42:19,2022-05-21 11:52:19,600
20220521115225_000326.MP4,2022-05-21 11:52:19,2022-05-21 12:02:19,600
20220521120225_000327.MP4,2022-05-21 12:02:19,2022-05-21 12:12:19,600
20220521121225_000328.MP4,2022-05-21 12:12:19,2022-05-21 12:22:19,600
20220521122225_000329.MP4,2022-05-21 12:22:19,2022-05-21 12:32:19,600
20220521123225_000330.MP4,2022-05-21 12:32:18,2022-05-21 12:38:07,349
20220521124057_000331.MP4,2022-05-21 12:40:51,2022-05-21 12:50:51,600
20220521125057_000332.MP4,2022-05-21 12:50:51,2022-05-21 13:00:51,600
20220521130057_000333.MP4,2022-05-21 13:00:51,2022-05-21 13:10:51,600
20220521131057_000334.MP4,2022-05-21 13:10:51,2022-05-21 13:20:51,600
20220521132057_000335.MP4,2022-05-21 13:20:51,2022-05-21 13:30:51,600
20220521133057_000336.MP4,2022-05-21 13:30:51,2022-05-21 13:40:51,600
20220521134057_000337.MP4,2022-05-21 13:40:51,2022-05-21 13:50:51,600
20220521135057_000338.MP4,2022-05-21 13:50:51,2022-05-21 14:00:51,600
20220521140057_000339.MP4,2022-05-21 14:00:51,2022-05-21 14:10:51,600
20220521141057_000340.MP4,2022-05-21 14:10:51,2022-05-21 14:20:51,600
20220521142057_000341.MP4,2022-05-21 14:20:51,2022-05-21 14:30:51,600
20220521143057_000342.MP4,2022-05-21 14:30:51,2022-05-21 14:40:51,600
20220521144057_000343.MP4,2022-05-21 14:40:51,2022-05-21 14:50:51,600
20220521145057_000344.MP4,2022-05-21 14:50:51,2022-05-21 15:00:51,600
20220521150057_000345.MP4,2022-05-21 15:00:51,2022-05-21 15:10:51,600
20220521151057_000346.MP4,2022-05-21 15:10:50,2022-05-21 15:15:52,302
