START_TIME,STOP_TIME,HLB_Indecipherable,Video_Insufficient,Meeting _Social_Gathering_In_Person,In_Transit_Active,Riding_Elevator_Down,HLB_Unlabeled,Riding_Elevator_Up,Eating,Dining,Using_Computer,Screen,Grooming,Self_Care,Packing,Unpacking_Something,Cooking,Prepping_Food,Relaxing_Passive,Dressing,Undressing,Doing_Common_Housework_Light,HLB_Other,In_Bathroom,Riding_Escalator_Up,Meeting_Virtual,Doing_Common_Housework,Doing_Laundry,Working_Other,Doing_Home_Repair_Light,Cleaning,Doing_Home_Repair,Doing_Resistance_Training,WatchingTV,Movies,Playing_Videogame,Meeting_Formal_Gathering_In_Person,Shopping_Grocery,In_Transit_Passive_Train,Bus,Plane,Exercising_Gym_Other,Doing_Alternative_Exercise,Therapy,Stretching,Cycling_Regular_Bicycle
2022-05-03 16:25:50.800,2022-05-03 16:29:57.800000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-03 16:29:58.800,2022-05-03 16:31:03.800000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-03 16:31:03.800,2022-05-03 16:32:32.800000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-03 16:32:33.800,2022-05-03 16:32:58.800000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-03 16:32:58.800,2022-05-03 16:33:15.800000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-03 16:33:15.800,2022-05-03 16:34:46.812000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-03 16:34:47.812,2022-05-03 16:38:01.812000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-03 16:38:02.812,2022-05-03 16:38:31.812000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-03 16:38:32.812,2022-05-03 16:39:18.812000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-03 16:39:19.812,2022-05-03 16:41:14.812000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-03 16:41:14.812,2022-05-03 16:42:10.812000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-03 16:42:11.812,2022-05-03 16:43:55.812000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-03 16:43:57.812,2022-05-03 16:44:45.812000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-03 16:44:46.812,2022-05-03 16:45:06.812000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-03 16:45:07.812,2022-05-03 16:47:11.812000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-03 16:47:15.812,2022-05-03 16:48:53.812000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-03 16:48:55.812,2022-05-03 16:51:17.812000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
