START_TIME,STOP_TIME,Located_Indoors,Texting,Browsing_Phone,In_Conversation,Located_Outdoors,Browsing_Computer,On_Video_Call,FaceTime,BP_VideoUnavailable,Indecipherable,Holding_Drink,Typing_Computer,Carrying_Grocery_Bags_Light,Holding_Other_Object_Light,Holding_Solid_Food,Handwriting,On_Phone_Call,Holding_Book,Reader,Legs_Uncrossed,Legs_Crossed,Carrying_Bag_On_Shoulder,Back_Light
2021-12-07 19:30:03.300,2021-12-07 19:50:52.700000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-07 19:50:52.700,2021-12-07 19:51:05.200000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-07 19:51:05.200,2021-12-07 19:51:40.200000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-07 19:51:40.200,2021-12-07 19:51:49.200000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-07 19:51:49.200,2021-12-07 19:52:04.700000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-07 19:52:04.700,2021-12-07 20:00:18.662000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-07 20:00:18.662,2021-12-07 20:00:48.650000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-07 20:00:48.650,2021-12-07 20:00:55.150000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-07 20:00:55.150,2021-12-07 20:01:28.650000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-07 20:01:28.650,2021-12-07 20:02:14.150000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-07 20:02:14.150,2021-12-07 20:02:24.650000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-07 20:02:24.650,2021-12-07 20:03:23.650000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-07 20:03:23.650,2021-12-07 20:03:32.137000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-07 20:03:32.137,2021-12-07 20:04:22.137000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-07 20:04:22.137,2021-12-07 20:06:38.625000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-07 20:06:38.625,2021-12-07 20:06:44.125000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-07 20:06:45.125,2021-12-07 20:07:57.125000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-07 20:07:57.125,2021-12-07 20:13:59.600000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-07 20:13:59.600,2021-12-07 20:14:10.587000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-07 20:14:10.587,2021-12-07 20:18:18.075000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-07 20:18:18.075,2021-12-07 20:18:36.575000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-07 20:18:36.575,2021-12-07 20:18:43.575000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-07 20:18:43.575,2021-12-07 20:18:49.575000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-07 20:18:49.575,2021-12-07 20:19:09.075000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-07 20:19:09.075,2021-12-07 20:20:20.062000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-07 20:20:20.062,2021-12-07 20:20:33.062000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-07 20:20:33.062,2021-12-07 20:20:46.562000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-07 20:20:46.562,2021-12-07 20:21:46.062000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-07 20:21:46.062,2021-12-07 20:21:56.062000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-07 20:21:56.562,2021-12-07 20:22:07.550000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-07 20:22:07.550,2021-12-07 20:22:13.050000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-07 20:22:13.050,2021-12-07 20:22:25.050000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
