START_TIME,STOP_TIME,Posture_Indecipherable,Video_Insufficient,In_Position_Upright,In_Position_Sitting,In_Position_Reclining_Slouching,In_Position_Kneeling,Lying_On_Back,Lying_On_Left_Side,Lying_On_Right_Side,Lying_On_Stomach,Posture_Too_Complex
2022-04-12 17:10:20.625,2022-04-12 17:22:15.512000,1,1,0,0,0,0,0,0,0,0,0
2022-04-12 17:22:15.512,2022-04-12 17:23:21.512000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:23:21.512,2022-04-12 17:23:50.512000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:23:50.512,2022-04-12 17:24:07.512000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:24:08.512,2022-04-12 17:24:39.512000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:24:39.512,2022-04-12 17:25:03.500000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:25:04.500,2022-04-12 17:26:26.500000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:26:26.500,2022-04-12 17:26:46.500000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:26:46.500,2022-04-12 17:27:02.500000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:27:05.500,2022-04-12 17:27:29.500000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:27:33.487,2022-04-12 17:27:53.487000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:27:53.487,2022-04-12 17:28:00.487000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:28:00.487,2022-04-12 17:28:08.487000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:28:10.487,2022-04-12 17:28:57.487000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:28:57.487,2022-04-12 17:29:08.487000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:29:09.487,2022-04-12 17:29:44.487000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:29:46.487,2022-04-12 17:30:16.475000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:30:17.475,2022-04-12 17:31:45.475000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:31:47.475,2022-04-12 17:32:13.475000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:32:14.475,2022-04-12 17:32:44.475000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:32:46.462,2022-04-12 17:33:04.462000,0,0,1,0,0,0,0,0,0,0,0
2022-04-12 17:33:04.462,2022-04-12 17:33:23.462000,0,0,1,0,0,0,0,0,0,0,0
