START_TIME,STOP_TIME,Posture_Indecipherable,Video_Insufficient,In_Position_Sitting,In_Position_Upright,Lying_On_Back,Lying_On_Left_Side,In_Position_Reclining_Slouching,In_Position_Kneeling,Posture_Other)
2022-03-29 20:29:51.550,2022-03-29 20:30:28.550,1,1,0,0,0,0,0,0,0
2022-03-29 20:30:28.550,2022-03-29 20:33:32.550,0,0,1,0,0,0,0,0,0
2022-03-29 20:33:32.550,2022-03-29 20:34:26.550,0,0,0,1,0,0,0,0,0
2022-03-29 20:34:26.550,2022-03-29 20:34:48.550,0,0,0,1,0,0,0,0,0
2022-03-29 20:34:48.550,2022-03-29 20:35:11.550,0,0,0,1,0,0,0,0,0
2022-03-29 20:35:11.550,2022-03-29 20:36:35.550,0,0,1,0,0,0,0,0,0
2022-03-29 20:36:35.550,2022-03-29 20:37:26.550,0,0,1,0,0,0,0,0,0
2022-03-29 20:37:26.550,2022-03-29 20:37:41.550,0,0,1,0,0,0,0,0,0
2022-03-29 20:37:41.550,2022-03-29 20:37:55.550,0,0,1,0,0,0,0,0,0
2022-03-29 20:37:55.550,2022-03-29 20:38:24.550,0,0,1,0,0,0,0,0,0
2022-03-29 20:38:24.550,2022-03-29 20:39:05.550,0,0,1,0,0,0,0,0,0
2022-03-29 20:39:05.550,2022-03-29 20:39:31.550,0,0,1,0,0,0,0,0,0
2022-03-29 20:39:31.550,2022-03-29 20:44:16.550,0,0,1,0,0,0,0,0,0
2022-03-29 20:44:16.550,2022-03-29 20:45:50.550,0,0,0,1,0,0,0,0,0
2022-03-29 20:45:50.550,2022-03-29 20:49:28.537,0,0,1,0,0,0,0,0,0
2022-03-29 20:49:28.537,2022-03-29 20:49:34.537,0,0,1,0,0,0,0,0,0
2022-03-29 20:49:34.537,2022-03-29 20:52:34.537,0,0,1,0,0,0,0,0,0
2022-03-29 20:52:34.537,2022-03-29 20:52:42.537,0,0,1,0,0,0,0,0,0
2022-03-29 20:52:42.537,2022-03-29 20:58:09.537,0,0,1,0,0,0,0,0,0
2022-03-29 20:58:09.537,2022-03-29 20:58:18.537,0,0,1,0,0,0,0,0,0
2022-03-29 20:58:18.537,2022-03-29 21:13:05.537,0,0,1,0,0,0,0,0,0
2022-03-29 21:13:05.537,2022-03-29 21:17:24.537,0,0,1,0,0,0,0,0,0
2022-03-29 21:17:24.537,2022-03-29 21:20:34.537,1,1,0,0,0,0,0,0,0
2022-03-29 21:20:34.537,2022-03-29 21:20:43.537,0,0,0,1,0,0,0,0,0
2022-03-29 21:20:43.537,2022-03-29 21:21:36.537,0,0,0,1,0,0,0,0,0
2022-03-29 21:21:36.537,2022-03-29 21:21:48.537,0,0,0,1,0,0,0,0,0
2022-03-29 21:21:48.537,2022-03-29 21:24:31.537,0,0,0,1,0,0,0,0,0
2022-03-29 21:24:31.537,2022-03-29 21:24:40.537,0,0,0,1,0,0,0,0,0
2022-03-29 21:24:40.537,2022-03-29 21:25:13.537,0,0,0,1,0,0,0,0,0
2022-03-29 21:25:13.537,2022-03-29 21:25:33.537,0,0,0,1,0,0,0,0,0
