START_TIME,STOP_TIME,Posture_Indecipherable,Video_Insufficient,In_Position_Sitting,In_Position_Upright,In_Position_Reclining_Slouching,Lying_On_Left_Side,Lying_On_Back,In_Position_Kneeling,Posture_Other),Lying_On_Right_Side
2022-02-28 20:12:02.475,2022-02-28 20:13:28.437,1,1,0,0,0,0,0,0,0,0
2022-02-28 20:13:29.437,2022-02-28 20:15:09.400,0,0,1,0,0,0,0,0,0,0
2022-02-28 20:15:13.400,2022-02-28 20:17:57.337,0,0,1,0,0,0,0,0,0,0
2022-02-28 20:18:04.337,2022-02-28 20:19:19.312,0,0,1,0,0,0,0,0,0,0
2022-02-28 20:19:20.312,2022-02-28 20:21:28.262,0,0,0,1,0,0,0,0,0,0
2022-02-28 20:21:55.250,2022-02-28 21:01:03.375,0,0,1,0,0,0,0,0,0,0
2022-02-28 21:01:08.375,2022-02-28 21:01:35.362,0,0,0,1,0,0,0,0,0,0
2022-02-28 21:01:43.362,2022-02-28 21:01:52.350,0,0,0,1,0,0,0,0,0,0
2022-02-28 21:01:55.350,2022-02-28 21:02:37.337,0,0,0,1,0,0,0,0,0,0
2022-02-28 21:03:01.325,2022-02-28 21:03:35.312,0,0,0,1,0,0,0,0,0,0
2022-02-28 21:03:38.312,2022-02-28 21:03:53.312,0,0,0,1,0,0,0,0,0,0
2022-02-28 21:03:55.312,2022-02-28 21:04:04.300,0,0,0,1,0,0,0,0,0,0
2022-02-28 21:04:12.300,2022-02-28 21:04:32.300,0,0,0,1,0,0,0,0,0,0
2022-02-28 21:04:33.300,2022-02-28 21:04:55.287,0,0,0,1,0,0,0,0,0,0
2022-02-28 21:04:56.287,2022-02-28 21:05:42.275,0,0,0,1,0,0,0,0,0,0
2022-02-28 21:05:43.275,2022-02-28 21:08:41.200,0,0,0,1,0,0,0,0,0,0
2022-02-28 21:08:42.200,2022-02-28 21:09:07.187,0,0,0,1,0,0,0,0,0,0
2022-02-28 21:09:08.187,2022-02-28 21:12:39.112,0,0,0,1,0,0,0,0,0,0
2022-02-28 21:12:48.112,2022-02-28 21:13:24.100,0,0,1,0,0,0,0,0,0,0
2022-02-28 21:13:27.100,2022-02-28 21:14:44.062,0,0,1,0,0,0,0,0,0,0
2022-02-28 21:14:54.062,2022-02-28 21:42:12.450,0,0,1,0,0,0,0,0,0,0
2022-02-28 21:42:18.450,2022-02-28 21:55:24.162,0,0,1,0,0,0,0,0,0,0
2022-02-28 21:55:27.150,2022-02-28 21:55:35.150,0,0,0,1,0,0,0,0,0,0
2022-02-28 21:55:36.150,2022-02-28 21:55:44.150,0,0,0,1,0,0,0,0,0,0
2022-02-28 21:55:47.150,2022-02-28 21:57:28.112,0,0,0,1,0,0,0,0,0,0
2022-02-28 21:57:31.112,2022-02-28 21:57:44.100,0,0,0,1,0,0,0,0,0,0
2022-02-28 21:57:46.100,2022-02-28 21:57:54.100,0,0,0,1,0,0,0,0,0,0
2022-02-28 21:57:56.100,2022-02-28 21:58:07.100,0,0,0,1,0,0,0,0,0,0
2022-02-28 21:58:09.100,2022-02-28 21:58:32.087,0,0,0,1,0,0,0,0,0,0
2022-02-28 21:58:34.087,2022-02-28 21:58:46.087,0,0,0,1,0,0,0,0,0,0
2022-02-28 21:58:51.075,2022-02-28 21:59:05.075,0,0,0,1,0,0,0,0,0,0
2022-02-28 21:59:09.075,2022-02-28 22:00:22.050,0,0,1,0,0,0,0,0,0,0
2022-02-28 22:00:25.050,2022-02-28 22:01:57.012,0,0,1,0,0,0,0,0,0,0
2022-02-28 22:01:59.012,2022-02-28 22:02:37.000,0,0,1,0,0,0,0,0,0,0
2022-02-28 22:02:44.987,2022-02-28 22:03:43.975,0,0,1,0,0,0,0,0,0,0
2022-03-01 11:43:39.725,2022-03-01 11:44:13.712,0,0,0,1,0,0,0,0,0,0
2022-03-01 11:44:15.712,2022-03-01 11:45:07.712,0,0,0,1,0,0,0,0,0,0
2022-03-01 11:45:08.712,2022-03-01 11:45:17.712,0,0,0,1,0,0,0,0,0,0
2022-03-01 11:45:18.712,2022-03-01 11:45:46.712,0,0,0,1,0,0,0,0,0,0
2022-03-01 11:45:47.712,2022-03-01 11:47:56.700,0,0,0,1,0,0,0,0,0,0
2022-03-01 11:47:59.700,2022-03-01 11:48:22.687,0,0,0,1,0,0,0,0,0,0
2022-03-01 11:48:23.687,2022-03-01 11:48:55.687,0,0,0,1,0,0,0,0,0,0
2022-03-01 11:48:56.687,2022-03-01 11:49:06.687,0,0,0,1,0,0,0,0,0,0
2022-03-01 11:49:06.687,2022-03-01 11:49:47.687,0,0,0,1,0,0,0,0,0,0
2022-03-01 11:49:49.687,2022-03-01 11:50:56.675,0,0,0,1,0,0,0,0,0,0
2022-03-01 11:50:57.675,2022-03-01 11:53:34.662,0,0,1,0,0,0,0,0,0,0
2022-03-01 11:53:39.662,2022-03-01 11:54:37.650,0,0,0,1,0,0,0,0,0,0
2022-03-01 11:54:39.650,2022-03-01 11:56:41.650,0,0,0,1,0,0,0,0,0,0
2022-03-01 11:56:44.650,2022-03-01 11:57:20.637,0,0,0,1,0,0,0,0,0,0
2022-03-01 11:57:24.637,2022-03-01 11:59:10.625,0,0,0,1,0,0,0,0,0,0
2022-03-01 11:59:21.625,2022-03-01 11:59:52.625,0,0,0,1,0,0,0,0,0,0
2022-03-01 11:59:53.625,2022-03-01 12:01:24.612,0,0,0,1,0,0,0,0,0,0
2022-03-01 12:01:25.612,2022-03-01 12:01:52.612,0,0,0,1,0,0,0,0,0,0
2022-03-01 12:01:53.612,2022-03-01 12:02:39.612,0,0,0,1,0,0,0,0,0,0
2022-03-01 12:02:43.612,2022-03-01 12:26:13.475,1,1,0,0,0,0,0,0,0,0
2022-03-01 12:26:27.475,2022-03-01 12:28:05.462,0,0,1,0,0,0,0,0,0,0
2022-03-01 12:28:12.462,2022-03-01 12:28:39.462,0,0,0,1,0,0,0,0,0,0
2022-03-01 12:28:41.462,2022-03-01 12:31:47.437,0,0,0,1,0,0,0,0,0,0
2022-03-01 12:31:51.437,2022-03-01 12:33:56.437,0,0,1,0,0,0,0,0,0,0
2022-03-01 12:33:58.425,2022-03-01 12:35:33.425,0,0,1,0,0,0,0,0,0,0
2022-03-01 12:35:34.425,2022-03-01 12:36:18.412,0,0,0,1,0,0,0,0,0,0
2022-03-01 12:36:18.412,2022-03-01 12:36:37.412,0,0,0,1,0,0,0,0,0,0
2022-03-01 12:36:37.412,2022-03-01 12:38:09.412,0,0,0,1,0,0,0,0,0,0
2022-03-01 12:38:09.412,2022-03-01 12:38:20.412,0,0,0,1,0,0,0,0,0,0
2022-03-01 12:38:20.412,2022-03-01 12:42:01.387,0,0,0,0,1,0,0,0,0,0
2022-03-01 12:42:01.387,2022-03-01 12:42:18.387,0,0,0,1,0,0,0,0,0,0
2022-03-01 12:42:18.387,2022-03-01 12:42:47.375,0,0,0,1,0,0,0,0,0,0
2022-03-01 12:42:50.375,2022-03-01 12:43:04.375,0,0,0,1,0,0,0,0,0,0
2022-03-01 12:43:04.375,2022-03-01 12:43:29.375,0,0,0,1,0,0,0,0,0,0
2022-03-01 12:43:29.375,2022-03-01 12:43:42.375,0,0,0,1,0,0,0,0,0,0
2022-03-01 12:43:42.375,2022-03-01 12:45:17.362,0,0,0,1,0,0,0,0,0,0
2022-03-01 12:45:27.362,2022-03-01 12:45:58.362,0,0,1,0,0,0,0,0,0,0
2022-03-01 12:45:58.362,2022-03-01 12:46:09.362,0,0,1,0,0,0,0,0,0,0
