fname,start,stop,duration(s)
20220519090704_000122.MP4,2022-05-19 09:06:57,2022-05-19 09:16:57,600
20220519091704_000123.MP4,2022-05-19 09:16:58,2022-05-19 09:26:58,600
20220519092704_000124.MP4,2022-05-19 09:26:58,2022-05-19 09:36:58,600
20220519093746_000125.MP4,2022-05-19 09:36:58,2022-05-19 09:46:58,600
20220519094704_000126.MP4,2022-05-19 09:46:58,2022-05-19 09:56:58,600
20220519095704_000127.MP4,2022-05-19 09:56:58,2022-05-19 10:06:58,600
20220519100704_000128.MP4,2022-05-19 10:06:58,2022-05-19 10:16:58,600
20220519101704_000129.MP4,2022-05-19 10:16:58,2022-05-19 10:26:58,600
20220519102704_000130.MP4,2022-05-19 10:26:58,2022-05-19 10:36:58,600
20220519103704_000131.MP4,2022-05-19 10:36:58,2022-05-19 10:46:58,600
20220519104704_000132.MP4,2022-05-19 10:46:58,2022-05-19 10:56:58,600
20220519105704_000133.MP4,2022-05-19 10:56:58,2022-05-19 11:06:58,600
20220519110704_000134.MP4,2022-05-19 11:06:58,2022-05-19 11:16:58,600
20220519111704_000135.MP4,2022-05-19 11:16:58,2022-05-19 11:26:58,600
20220519112704_000136.MP4,2022-05-19 11:26:58,2022-05-19 11:36:58,600
20220519113704_000137.MP4,2022-05-19 11:36:58,2022-05-19 11:46:58,600
20220519114704_000138.MP4,2022-05-19 11:46:58,2022-05-19 11:56:58,600
20220519115704_000139.MP4,2022-05-19 11:56:58,2022-05-19 12:06:58,600
20220519120704_000140.MP4,2022-05-19 12:06:58,2022-05-19 12:16:58,600
20220519121704_000141.MP4,2022-05-19 12:16:58,2022-05-19 12:26:58,600
20220519122704_000142.MP4,2022-05-19 12:26:58,2022-05-19 12:36:58,600
20220519123704_000143.MP4,2022-05-19 12:36:58,2022-05-19 12:46:58,600
20220519124704_000144.MP4,2022-05-19 12:46:58,2022-05-19 12:56:58,600
20220519125704_000145.MP4,2022-05-19 12:56:58,2022-05-19 13:06:58,600
20220519130704_000146.MP4,2022-05-19 13:06:58,2022-05-19 13:16:58,600
20220519131704_000147.MP4,2022-05-19 13:16:58,2022-05-19 13:26:58,600
20220519132704_000148.MP4,2022-05-19 13:26:58,2022-05-19 13:36:58,600
20220519133704_000149.MP4,2022-05-19 13:36:58,2022-05-19 13:46:58,600
20220519134704_000150.MP4,2022-05-19 13:46:58,2022-05-19 13:56:58,600
20220519135704_000151.MP4,2022-05-19 13:56:58,2022-05-19 14:06:58,600
