label,number_of_samples
PA_Type_VideoUnavailable,1506
Indecipherable,1506
Standing_With_Movement,2008
Sitting_With_Movement,10659
Walking,1804
Puttering_Around,2757
Walking_Up_Stairs,105
Walking_Down_Stairs,112
Kneeling_With_Movement,7
PA_Type_Unlabeled,0
PA_Type_Other,28
Washing_Hands,6
Walking_Fast,16
Doing_Resistance_Training_Other,1
Synchronizing_Sensors,6
Applying_Makeup,30
Walking_Slow,3
Walking_Treadmill,1
Folding_Clothes,166
PA_Type_Too_Complex,6
Lying_With_Movement,21
total_samples,53191
total_number_of_labels,20748
