label,number_of_samples
PA_Type_VideoUnavailable,20823
Indecipherable,20823
Sitting_With_Movement,8236
Standing_With_Movement,2072
Walking,2145
Walking_Up_Stairs,52
Puttering_Around,1036
Walking_Down_Stairs,50
Walking_Slow,13
Folding_Clothes,10
Washing_Hands,6
Walking_Fast,28
PA_Type_Other,1538
Synchronizing_Sensors,17
Lying_With_Movement,198
Kneeling_With_Movement,79
Washing_Face,1
Cycling_Active_Pedaling_Regular_Bicycle,131
Vacuuming,23
Brushing_Teeth,17
PA_Type_Too_Complex,49
Brushing,23
Combing,23
Tying_Hair,23
total_samples,60481
total_number_of_labels,57416
