label,number_of_samples
Sitting_With_Movement,19246
Standing_With_Movement,1071
PA_Type_VideoUnavailable,1796
Indecipherable,1796
Walking,2698
Puttering_Around,1026
Applying_Makeup,1
Watering_Plants,2
Brushing,1
Combing,1
Tying_Hair,1
Walking_Slow,39
Lying_With_Movement,4579
Walking_Down_Stairs,12
Walking_Up_Stairs,23
PA_Type_Other,22
Doing_Resistance_Training_Other,1
Washing_Hands,5
PA_Type_Too_Complex,7
Lying_Still,1017
Standing_Still,58
Synchronizing_Sensors,5
Sitting_Still,164
total_samples,60192
total_number_of_labels,33571
