label,number_of_samples
PA_Type_VideoUnavailable,7599
Indecipherable,7599
Standing_With_Movement,2381
Puttering_Around,1941
Walking,3046
Organizing_Shelf,23
Cabinet,23
Walking_Down_Stairs,104
Walking_Up_Stairs,94
Sitting_With_Movement,17958
Kneeling_With_Movement,13
Standing_Still,10
Lying_With_Movement,5751
Synchronizing_Sensors,19
Applying_Makeup,19
Walking_Slow,48
Brushing,4
Combing,4
Tying_Hair,4
Washing_Hands,38
Sitting_Still,68
Playing_Frisbee,20
Washing_Face,10
Lying_Still,1209
Folding_Clothes,3
total_samples,60341
total_number_of_labels,47988
