label,number_of_samples
PA_Type_VideoUnavailable,2407
Indecipherable,2407
Standing_With_Movement,4011
Walking,1975
Sitting_With_Movement,23402
Walking_Down_Stairs,128
Walking_Up_Stairs,119
Washing_Face,78
Puttering_Around,2561
Kneeling_With_Movement,69
Brushing_Teeth,89
Synchronizing_Sensors,55
Organizing_Shelf,120
Cabinet,120
Putting_Clothes_Away,125
Folding_Clothes,360
Sweeping,17
PA_Type_Other,1096
Washing_Hands,6
Lying_With_Movement,1087
Sitting_Still,219
Walking_Slow,37
Standing_Still,20
Lying_Still,146
PA_Type_Too_Complex,95
total_samples,67121
total_number_of_labels,40749
