label,number_of_samples
PA_Type_VideoUnavailable,3170
Indecipherable,3170
Sitting_With_Movement,13160
Standing_With_Movement,1214
Walking,1326
Sitting_Still,13
Puttering_Around,2391
Synchronizing_Sensors,14
Brushing_Teeth,37
Washing_Hands,16
Organizing_Shelf,52
Cabinet,52
PA_Type_Other,1726
Lying_With_Movement,4004
Putting_Clothes_Away,58
Kneeling_With_Movement,10
Sweeping,16
Loading,2
Unloading_Washing_Machine,2
Dryer,2
Walking_Down_Stairs,7
Folding_Clothes,61
Standing_Still,13
Walking_Slow,27
total_samples,66907
total_number_of_labels,30543
