label,number_of_samples
PA_Type_VideoUnavailable,8352
Indecipherable,8352
Sitting_With_Movement,14066
Walking,2815
Standing_With_Movement,2135
Puttering_Around,943
Washing_Hands,23
Flossing_Teeth,11
Kneeling_With_Movement,272
Synchronizing_Sensors,13
Brushing_Teeth,43
Walking_Slow,77
Walking_Down_Stairs,16
PA_Type_Other,443
Standing_Still,14
Lying_Still,30
Sweeping,12
Organizing_Shelf,10
Cabinet,10
Loading,3
Unloading_Washing_Machine,3
Dryer,3
Walking_Up_Stairs,10
Folding_Clothes,35
Putting_Clothes_Away,6
Doing_Resistance_Training_Other,460
Lying_With_Movement,226
Sitting_Still,165
Cycling_Active_Pedaling_Regular_Bicycle,266
Walking_Fast,33
total_samples,59609
total_number_of_labels,38847
