label,number_of_samples
Sitting_With_Movement,17562
PA_Type_Unlabeled,80
Standing_With_Movement,2431
Walking,1779
Walking_Down_Stairs,79
Puttering_Around,2707
Kneeling_With_Movement,8
Synchronizing_Sensors,17
PA_Type_VideoUnavailable,2022
Indecipherable,2022
Walking_Up_Stairs,26
Washing_Hands,38
PA_Type_Other,1651
Lying_With_Movement,1775
Organizing_Shelf,71
Cabinet,71
Walking_Fast,0
Folding_Clothes,5
Brushing_Teeth,22
Flossing_Teeth,7
Putting_Clothes_Away,9
Walking_Treadmill,6
Lying_Still,28
Brushing,2
Combing,2
Tying_Hair,2
Walking_Slow,2
Loading,3
Unloading_Washing_Machine,3
Dryer,3
Doing_Resistance_Training_Other,3
total_samples,66964
total_number_of_labels,32436
