label,number_of_samples
Synchronizing_Sensors,28
Standing_With_Movement,1584
PA_Type_Unlabeled,0
Sitting_With_Movement,24806
Puttering_Around,4363
Walking,1872
Walking_Fast,0
Walking_Down_Stairs,36
Walking_Up_Stairs,32
PA_Type_VideoUnavailable,3808
Indecipherable,3808
Folding_Clothes,73
PA_Type_Other,22
Kneeling_With_Movement,85
Loading,41
Unloading_Washing_Machine,41
Dryer,41
Washing_Hands,105
Cycling_Active_Pedaling_Stationary_Bike,1237
Brushing_Teeth,25
Ironing,43
Sitting_Still,147
Standing_Still,7
Walking_Slow,1
Organizing_Shelf,79
Cabinet,79
Putting_Clothes_Away,69
Lying_Still,41
Sweeping,43
Vacuuming,104
Watering_Plants,24
Lying_With_Movement,240
Brushing,1
Combing,1
Tying_Hair,1
total_samples,66319
total_number_of_labels,42887
