label,number_of_samples
PA_Type_Unlabeled,129
Standing_With_Movement,980
Sitting_With_Movement,10951
Puttering_Around,3637
Walking,728
Walking_Up_Stairs,55
PA_Type_VideoUnavailable,2663
Indecipherable,2663
Walking_Down_Stairs,37
Synchronizing_Sensors,1
Kneeling_With_Movement,74
Doing_Resistance_Training_Free_Weights,60
Doing_Resistance_Training_Other,38
Lying_With_Movement,315
PA_Type_Too_Complex,4
Washing_Hands,12
Applying_Makeup,13
PA_Type_Other,14
Loading,24
Unloading_Washing_Machine,24
Dryer,24
Sweeping,7
total_samples,66529
total_number_of_labels,22453
