label,number_of_samples
Sitting_With_Movement,16985
Puttering_Around,2232
Standing_With_Movement,1584
Walking,3266
Walking_Up_Stairs,133
PA_Type_VideoUnavailable,8663
Indecipherable,8663
Kneeling_With_Movement,5
Folding_Clothes,54
Walking_Down_Stairs,112
Lying_With_Movement,1756
Putting_Clothes_Away,30
Synchronizing_Sensors,25
Walking_Slow,70
Ironing,37
Lying_Still,179
Applying_Makeup,233
Organizing_Shelf,9
Cabinet,9
Sitting_Still,118
Brushing,218
Combing,218
Tying_Hair,218
Washing_Hands,5
Washing_Face,12
Brushing_Teeth,89
Blowdrying_Hair,3
PA_Type_Other,8
total_samples,68992
total_number_of_labels,44934
