label,number_of_samples
Standing_With_Movement,2352
Sitting_With_Movement,15728
Walking,1106
Walking_Up_Stairs,51
Puttering_Around,1396
PA_Type_VideoUnavailable,4798
Indecipherable,4798
Lying_With_Movement,1011
Walking_Down_Stairs,55
Applying_Makeup,2
Synchronizing_Sensors,4
Washing_Hands,10
Doing_Resistance_Training_Free_Weights,132
Doing_Resistance_Training_Other,396
Standing_Still,43
Sitting_Still,100
Playing_Frisbee,2
Kneeling_With_Movement,24
Brushing_Teeth,2
Lying_Still,97
PA_Type_Other,1345
Shoveling_Mud_Snow,11
Walking_Slow,0
Walking_Fast,1
Organizing_Shelf,10
Cabinet,10
total_samples,68300
total_number_of_labels,33484
