label,number_of_samples
Located_Indoors,14358
In_Conversation,1398
Holding_Other_Object_Light,4352
Texting,2841
Browsing_Phone,2841
Holding_Bag,84
BriefCase_Hand_Heavy,18
BriefCase_Hand_Light,66
Located_Outdoors,1879
CP_VideoUnavailable,8082
Indecipherable,11214
Browsing_Computer,2963
Handwriting,447
Carrying_Bag_On_Shoulder,1285
Back_Light,1285
Holding_Drink,602
Typing_Computer,122
Holding_Other_Object_Heavy,3
BP_VideoUnavailable,3132
On_Phone_Call,6
Sync_Marker,2
On_Video_Call,96
FaceTime,96
Unsure,8
Holding_Book,10
Reader,10
Holding_Solid_Food,184
BP_Other,1242
total_samples,60481
total_number_of_labels,58626
