label,number_of_samples
Located_Indoors,15354
Texting,2646
Browsing_Phone,2646
In_Conversation,5421
Located_Outdoors,3402
Browsing_Computer,361
On_Video_Call,627
FaceTime,627
BP_VideoUnavailable,1398
Indecipherable,1398
Holding_Drink,663
Typing_Computer,74
Carrying_Grocery_Bags_Light,12
Holding_Other_Object_Light,365
Holding_Solid_Food,221
Handwriting,16
On_Phone_Call,40
Holding_Book,43
Reader,43
Legs_Uncrossed,346
Legs_Crossed,48
Carrying_Bag_On_Shoulder,135
Back_Light,135
total_samples,66529
total_number_of_labels,36021
