label,number_of_samples
BP_VideoUnavailable,335
Indecipherable,335
In_Conversation,3864
Located_Indoors,32117
Holding_Other_Object_Light,6961
Located_Outdoors,2130
Texting,2437
Browsing_Phone,2437
Browsing_Computer,8877
Legs_Uncrossed,500
Holding_Drink,547
Holding_Solid_Food,1081
Typing_Computer,2219
Carrying_Bag_On_Shoulder,1634
Back_Light,1471
BP_Other,313
Carrying_Grocery_Bags_Light,48
Holding_Bag,9
BriefCase_Hand_Light,9
On_Video_Call,564
FaceTime,564
Handwriting,1039
Holding_Other_Object_Heavy,13
Holding_Book,1106
Reader,1106
Back_Heavy,163
On_Phone_Call,203
Legs_Crossed,251
total_samples,68937
total_number_of_labels,72333
