label,number_of_samples
Located_Indoors,16470
Texting,4416
Browsing_Phone,4416
Located_Outdoors,1941
BP_VideoUnavailable,818
Indecipherable,818
Holding_Drink,966
Handwriting,673
Browsing_Computer,2914
Typing_Computer,395
Holding_Solid_Food,149
BP_Other,59
Holding_Other_Object_Light,676
In_Conversation,2928
On_Phone_Call,51
Legs_Crossed,322
Carrying_Bag_On_Shoulder,264
Back_Light,264
Hand,3
s_In_Pocket,3
Holding_Other_Object_Heavy,5
On_Video_Call,263
FaceTime,263
Legs_Uncrossed,74
total_samples,53191
total_number_of_labels,39151
