label,number_of_samples
Located_Indoors,19954
CP_VideoUnavailable,2693
Indecipherable,3359
In_Conversation,4245
Holding_Other_Object_Light,7406
Texting,2908
Browsing_Phone,2908
Located_Outdoors,2527
Holding_Drink,294
Browsing_Computer,5560
Holding_Solid_Food,441
Holding_Book,72
Reader,72
Carrying_Bag_On_Shoulder,586
Back_Light,586
BP_VideoUnavailable,666
Typing_Computer,7
Handwriting,599
On_Video_Call,93
FaceTime,93
On_Phone_Call,58
Holding_Bag,6
BriefCase_Hand_Light,6
Legs_Crossed,306
Holding_Other_Object_Heavy,2
total_samples,61143
total_number_of_labels,55447
