label,number_of_samples
Located_Indoors,33310
In_Conversation,4842
Holding_Other_Object_Light,11057
Texting,5003
Browsing_Phone,5003
Holding_Bag,191
BriefCase_Hand_Light,191
Located_Outdoors,2033
Browsing_Computer,6125
Typing_Computer,3544
BP_VideoUnavailable,905
Indecipherable,1665
Legs_Crossed,635
Holding_Solid_Food,1161
Holding_Drink,674
Handwriting,1492
Significantly_Higher_Effort_Than_Normal,22
Carrying_Bag_On_Shoulder,788
Back_Light,788
On_Video_Call,438
FaceTime,438
Holding_Other_Object_Heavy,65
Holding_Book,46
Reader,46
On_Phone_Call,160
CP_VideoUnavailable,760
Unsure,389
Legs_Uncrossed,21
Carrying_Grocery_Bags_Light,112
total_samples,67121
total_number_of_labels,81904
