label,number_of_samples
Located_Indoors,25953
Handwriting,329
Texting,5564
Browsing_Phone,5564
Holding_Other_Object_Light,1524
Located_Outdoors,1847
Browsing_Computer,4257
Holding_Drink,557
Carrying_Bag_On_Shoulder,1293
Back_Light,1293
Legs_Crossed,368
In_Conversation,1733
Holding_Solid_Food,600
Holding_Book,12
Reader,12
Carrying_Grocery_Bags_Heavy,21
Typing_Computer,1073
On_Phone_Call,176
On_Video_Call,201
FaceTime,201
BP_VideoUnavailable,601
Indecipherable,601
Holding_Other_Object_Heavy,3
Holding_Bag,3
BriefCase_Hand_Light,3
BP_Other,0
Legs_Uncrossed,68
total_samples,66964
total_number_of_labels,53857
