label,number_of_samples
CP_VideoUnavailable,642
Indecipherable,999
Located_Indoors,33640
In_Conversation,1330
Holding_Other_Object_Light,7474
Located_Outdoors,1171
Texting,4975
Browsing_Phone,4975
Typing_Computer,11742
Browsing_Computer,17695
Holding_Bag,9
BriefCase_Hand_Light,9
BP_VideoUnavailable,357
Legs_Crossed,21
Holding_Solid_Food,466
Carrying_Bag_On_Shoulder,790
Back_Light,745
Holding_Drink,116
Handwriting,148
Carrying_Grocery_Bags_Light,24
Holding_Book,2
Reader,2
On_Video_Call,154
FaceTime,154
Using_Umbrella,57
Back_Heavy,45
total_samples,59860
total_number_of_labels,87742
