label,number_of_samples
Located_Indoors,31797
CP_Other,284
In_Conversation,3955
Legs_Crossed,272
Holding_Other_Object_Light,7437
Holding_Bag,2
BriefCase_Hand_Light,2
On_Video_Call,734
FaceTime,734
Texting,7570
Browsing_Phone,7570
Located_Outdoors,2549
CP_VideoUnavailable,1310
Indecipherable,4120
Browsing_Computer,3604
BP_VideoUnavailable,2810
Carrying_Bag_On_Shoulder,1484
Back_Light,1484
Holding_Solid_Food,524
Holding_Drink,689
Holding_Book,28
Reader,28
Typing_Computer,68
On_Phone_Call,264
Unsure,129
Handwriting,9
total_samples,59988
total_number_of_labels,79457
