label,number_of_samples
CP_VideoUnavailable,4007
Indecipherable,4130
Located_Indoors,22032
In_Conversation,4731
Holding_Other_Object_Light,1550
Texting,3374
Browsing_Phone,3374
Holding_Bag,56
BriefCase_Hand_Light,56
Located_Outdoors,3651
Holding_Book,36
Reader,36
Browsing_Computer,6546
Holding_Solid_Food,621
On_Video_Call,221
FaceTime,221
Carrying_Bag_On_Shoulder,1515
Back_Light,1458
BP_VideoUnavailable,123
Holding_Drink,836
Typing_Computer,1309
On_Phone_Call,64
Significantly_Higher_Effort_Than_Normal,571
Legs_Crossed,74
CP_Other,88
Holding_Other_Object_Heavy,20
Back_Heavy,57
Legs_Uncrossed,114
total_samples,60004
total_number_of_labels,60871
