label,number_of_samples
Located_Indoors,20884
In_Conversation,3874
Holding_Other_Object_Light,3490
Texting,5677
Browsing_Phone,5677
Holding_Other_Object_Heavy,720
Located_Outdoors,1889
Holding_Drink,541
Browsing_Computer,4761
On_Video_Call,899
FaceTime,899
BP_VideoUnavailable,3765
Indecipherable,3765
Legs_Crossed,554
Legs_Uncrossed,163
BP_Other,1340
On_Phone_Call,108
Typing_Computer,557
Carrying_Bag_On_Shoulder,274
Back_Light,142
Back_Heavy,132
Holding_Solid_Food,470
Carrying_Grocery_Bags_Light,11
total_samples,68300
total_number_of_labels,60592
