label,number_of_samples
Located_Indoors,25703
In_Conversation,3459
Texting,4137
Browsing_Phone,4137
Holding_Other_Object_Light,5951
Located_Outdoors,2850
Holding_Bag,262
BriefCase_Hand_Light,262
Holding_Solid_Food,1207
Holding_Drink,128
On_Video_Call,687
FaceTime,687
Browsing_Computer,8278
Carrying_Bag_On_Shoulder,2430
Back_Light,2430
Typing_Computer,1089
BP_VideoUnavailable,6633
Indecipherable,6633
Legs_Uncrossed,88
Legs_Crossed,269
Handwriting,72
Holding_Book,7
Reader,7
total_samples,68992
total_number_of_labels,77406
