label,number_of_samples
BP_VideoUnavailable,6218
Indecipherable,8011
Located_Indoors,20685
In_Conversation,2448
Texting,2436
Browsing_Phone,2436
Located_Outdoors,2466
Holding_Other_Object_Light,1018
Handwriting,1488
Browsing_Computer,1637
Holding_Drink,386
Holding_Solid_Food,557
Legs_Crossed,15
Typing_Computer,110
Sync_Marker,11
Carrying_Bag_On_Shoulder,368
Back_Heavy,79
Back_Light,289
CP_VideoUnavailable,1793
Holding_Other_Object_Heavy,68
BP_Other,322
Holding_Book,39
Reader,39
On_Phone_Call,83
total_samples,59609
total_number_of_labels,53002
