label,number_of_samples
Located_Indoors,20240
In_Conversation,2484
Texting,3835
Browsing_Phone,3835
Holding_Other_Object_Light,6193
Located_Outdoors,3194
Browsing_Computer,1742
BP_VideoUnavailable,2224
Indecipherable,2224
Handwriting,120
Holding_Solid_Food,652
Holding_Drink,546
Carrying_Bag_On_Shoulder,50
Back_Light,50
Holding_Book,22
Reader,22
On_Video_Call,42
FaceTime,42
Typing_Computer,37
Legs_Crossed,245
On_Phone_Call,130
Carrying_Grocery_Bags_Light,4
BP_Other,34
total_samples,66907
total_number_of_labels,47967
