label,number_of_samples
BP_Unlabeled,16
Located_Indoors,34931
In_Conversation,1925
On_Phone_Call,312
Texting,842
Browsing_Phone,842
Holding_Other_Object_Light,775
Located_Outdoors,1848
Holding_Book,174
Reader,174
Browsing_Computer,11756
Typing_Computer,2555
Holding_Drink,302
BP_VideoUnavailable,1950
Indecipherable,1950
Holding_Solid_Food,383
Handwriting,41
On_Video_Call,1543
FaceTime,1543
BP_Other,15
Legs_Uncrossed,3947
Carrying_Bag_On_Shoulder,353
Back_Light,318
Back_Heavy,35
Legs_Crossed,802
Holding_Other_Object_Heavy,2
Carrying_Grocery_Bags_Light,15
Significantly_Higher_Effort_Than_Normal,11
total_samples,66319
total_number_of_labels,69360
