label,number_of_samples
CP_VideoUnavailable,768
Indecipherable,1620
Located_Indoors,33337
Holding_Other_Object_Light,8589
Texting,3671
Browsing_Phone,3671
Holding_Bag,113
BriefCase_Hand_Light,113
Located_Outdoors,2858
Legs_Crossed,856
Browsing_Computer,9318
BP_VideoUnavailable,852
In_Conversation,3920
Typing_Computer,2660
Handwriting,470
On_Video_Call,159
FaceTime,159
Legs_Uncrossed,29
Holding_Drink,137
Carrying_Bag_On_Shoulder,2176
Back_Light,2176
Holding_Solid_Food,716
Holding_Other_Object_Heavy,3
Carrying_Grocery_Bags_Light,140
Holding_Book,5
Reader,5
total_samples,60341
total_number_of_labels,78521
