fname,start,stop,duration(s)
20220524091218_000218.MP4,2022-05-24 09:12:12,2022-05-24 09:22:12,600
20220524092218_000219.MP4,2022-05-24 09:22:12,2022-05-24 09:32:12,600
20220524093300_000220.MP4,2022-05-24 09:32:12,2022-05-24 09:42:12,600
20220524094300_000221.MP4,2022-05-24 09:42:12,2022-05-24 09:52:12,600
20220524095219_000222.MP4,2022-05-24 09:52:12,2022-05-24 10:02:12,600
20220524100219_000223.MP4,2022-05-24 10:02:12,2022-05-24 10:12:12,600
20220524101219_000224.MP4,2022-05-24 10:12:12,2022-05-24 10:22:12,600
20220524102219_000225.MP4,2022-05-24 10:22:13,2022-05-24 10:32:13,600
20220524103219_000226.MP4,2022-05-24 10:32:13,2022-05-24 10:42:13,600
20220524104219_000227.MP4,2022-05-24 10:42:13,2022-05-24 10:52:13,600
20220524105219_000228.MP4,2022-05-24 10:52:13,2022-05-24 11:02:13,600
20220524110219_000229.MP4,2022-05-24 11:02:13,2022-05-24 11:12:13,600
20220524111219_000230.MP4,2022-05-24 11:12:13,2022-05-24 11:22:13,600
20220524112219_000231.MP4,2022-05-24 11:22:13,2022-05-24 11:32:13,600
20220524113219_000232.MP4,2022-05-24 11:32:13,2022-05-24 11:42:13,600
20220524114219_000233.MP4,2022-05-24 11:42:13,2022-05-24 11:52:13,600
20220524115219_000234.MP4,2022-05-24 11:52:13,2022-05-24 12:02:13,600
20220524120219_000235.MP4,2022-05-24 12:02:13,2022-05-24 12:12:13,600
20220524121219_000236.MP4,2022-05-24 12:12:13,2022-05-24 12:22:13,600
20220524122219_000237.MP4,2022-05-24 12:22:13,2022-05-24 12:32:13,600
20220524123219_000238.MP4,2022-05-24 12:32:13,2022-05-24 12:42:13,600
20220524124219_000239.MP4,2022-05-24 12:42:13,2022-05-24 12:52:13,600
20220524125242_000240.MP4,2022-05-24 12:52:13,2022-05-24 13:02:13,600
20220524130219_000241.MP4,2022-05-24 13:02:13,2022-05-24 13:12:13,600
20220524131219_000242.MP4,2022-05-24 13:12:13,2022-05-24 13:22:13,600
20220524132219_000243.MP4,2022-05-24 13:22:13,2022-05-24 13:32:13,600
20220524133219_000244.MP4,2022-05-24 13:32:13,2022-05-24 13:42:13,600
20220524134219_000245.MP4,2022-05-24 13:42:13,2022-05-24 13:52:13,600
20220524135219_000246.MP4,2022-05-24 13:52:13,2022-05-24 14:02:13,600
20220524140219_000247.MP4,2022-05-24 14:02:13,2022-05-24 14:12:13,600
20220524141219_000248.MP4,2022-05-24 14:12:13,2022-05-24 14:22:13,600
20220524142219_000249.MP4,2022-05-24 14:22:13,2022-05-24 14:32:13,600
20220524143219_000250.MP4,2022-05-24 14:32:13,2022-05-24 14:42:13,600
20220524144219_000251.MP4,2022-05-24 14:42:13,2022-05-24 14:52:13,600
20220524145219_000252.MP4,2022-05-24 14:52:13,2022-05-24 15:02:13,600
20220524150219_000253.MP4,2022-05-24 15:02:13,2022-05-24 15:12:13,600
20220524151219_000254.MP4,2022-05-24 15:12:13,2022-05-24 15:22:13,600
20220524152220_000255.MP4,2022-05-24 15:22:13,2022-05-24 15:32:13,600
20220524153220_000256.MP4,2022-05-24 15:32:13,2022-05-24 15:42:13,600
20220524154220_000257.MP4,2022-05-24 15:42:14,2022-05-24 15:52:14,600
20220524155220_000258.MP4,2022-05-24 15:52:14,2022-05-24 16:02:14,600
20220524160220_000259.MP4,2022-05-24 16:02:14,2022-05-24 16:12:14,600
20220524161220_000260.MP4,2022-05-24 16:12:14,2022-05-24 16:22:14,600
20220524162220_000261.MP4,2022-05-24 16:22:14,2022-05-24 16:32:14,600
20220524163220_000262.MP4,2022-05-24 16:32:14,2022-05-24 16:42:14,600
20220524164220_000263.MP4,2022-05-24 16:42:14,2022-05-24 16:52:14,600
20220524165220_000264.MP4,2022-05-24 16:52:14,2022-05-24 17:02:14,600
20220524170220_000265.MP4,2022-05-24 17:02:14,2022-05-24 17:12:14,600
20220524171220_000266.MP4,2022-05-24 17:12:14,2022-05-24 17:22:14,600
20220524172220_000267.MP4,2022-05-24 17:22:14,2022-05-24 17:32:14,600
20220524173220_000268.MP4,2022-05-24 17:32:14,2022-05-24 17:33:33,79
