fname,start,stop,duration(s)
20220517201417_000003.MP4,2022-05-17 20:14:11,2022-05-17 20:16:51,160
20220517201840_000004.MP4,2022-05-17 20:18:34,2022-05-17 20:28:34,600
20220517202840_000005.MP4,2022-05-17 20:28:34,2022-05-17 20:38:34,600
20220517203840_000006.MP4,2022-05-17 20:38:34,2022-05-17 20:48:34,600
20220517204840_000007.MP4,2022-05-17 20:48:34,2022-05-17 20:58:34,600
20220517205840_000008.MP4,2022-05-17 20:58:34,2022-05-17 21:08:34,600
20220517210840_000009.MP4,2022-05-17 21:08:34,2022-05-17 21:18:34,600
20220517211840_000010.MP4,2022-05-17 21:18:34,2022-05-17 21:28:34,600
20220517212840_000011.MP4,2022-05-17 21:28:34,2022-05-17 21:38:34,600
20220517213840_000012.MP4,2022-05-17 21:38:34,2022-05-17 21:48:34,600
20220517214922_000013.MP4,2022-05-17 21:48:34,2022-05-17 21:58:34,600
20220517215840_000014.MP4,2022-05-17 21:58:34,2022-05-17 22:08:34,600
20220517220922_000015.MP4,2022-05-17 22:08:34,2022-05-17 22:18:34,600
20220517221840_000016.MP4,2022-05-17 22:18:34,2022-05-17 22:28:34,600
20220517222840_000017.MP4,2022-05-17 22:28:34,2022-05-17 22:38:34,600
20220517223840_000018.MP4,2022-05-17 22:38:34,2022-05-17 22:48:34,600
20220517224840_000019.MP4,2022-05-17 22:48:34,2022-05-17 22:58:34,600
20220517225840_000020.MP4,2022-05-17 22:58:34,2022-05-17 23:08:34,600
20220517230840_000021.MP4,2022-05-17 23:08:34,2022-05-17 23:18:34,600
20220517231841_000022.MP4,2022-05-17 23:18:34,2022-05-17 23:28:34,600
20220517232841_000023.MP4,2022-05-17 23:28:34,2022-05-17 23:38:34,600
20220517233841_000024.MP4,2022-05-17 23:38:34,2022-05-17 23:48:34,600
20220517234841_000025.MP4,2022-05-17 23:48:34,2022-05-17 23:52:04,210
