fname,start,stop,duration(s)
20220523090906_000131.MP4,2022-05-23 09:09:00,2022-05-23 09:19:00,600
20220523091906_000132.MP4,2022-05-23 09:19:00,2022-05-23 09:29:00,600
20220523092906_000133.MP4,2022-05-23 09:29:00,2022-05-23 09:39:00,600
20220523093906_000134.MP4,2022-05-23 09:39:00,2022-05-23 09:49:00,600
20220523094906_000135.MP4,2022-05-23 09:49:00,2022-05-23 09:59:00,600
20220523095906_000136.MP4,2022-05-23 09:59:00,2022-05-23 10:09:00,600
20220523100906_000137.MP4,2022-05-23 10:09:00,2022-05-23 10:19:00,600
20220523101906_000138.MP4,2022-05-23 10:19:00,2022-05-23 10:29:00,600
20220523102906_000139.MP4,2022-05-23 10:29:00,2022-05-23 10:39:00,600
20220523103906_000140.MP4,2022-05-23 10:39:00,2022-05-23 10:49:00,600
20220523104906_000141.MP4,2022-05-23 10:49:00,2022-05-23 10:59:00,600
20220523105906_000142.MP4,2022-05-23 10:59:00,2022-05-23 11:09:00,600
20220523110906_000143.MP4,2022-05-23 11:09:00,2022-05-23 11:19:00,600
20220523111906_000144.MP4,2022-05-23 11:19:00,2022-05-23 11:29:00,600
20220523112906_000145.MP4,2022-05-23 11:29:00,2022-05-23 11:39:00,600
20220523113906_000146.MP4,2022-05-23 11:39:00,2022-05-23 11:49:00,600
20220523114906_000147.MP4,2022-05-23 11:49:00,2022-05-23 11:59:00,600
20220523115906_000148.MP4,2022-05-23 11:59:00,2022-05-23 12:09:00,600
20220523120906_000149.MP4,2022-05-23 12:09:00,2022-05-23 12:19:00,600
20220523121906_000150.MP4,2022-05-23 12:19:00,2022-05-23 12:29:00,600
20220523122906_000151.MP4,2022-05-23 12:29:00,2022-05-23 12:39:00,600
20220523123906_000152.MP4,2022-05-23 12:39:00,2022-05-23 12:49:00,600
20220523124946_000153.MP4,2022-05-23 12:49:00,2022-05-23 12:59:00,600
20220523125906_000154.MP4,2022-05-23 12:59:00,2022-05-23 13:09:00,600
20220523130906_000155.MP4,2022-05-23 13:09:00,2022-05-23 13:19:00,600
20220523131906_000156.MP4,2022-05-23 13:19:00,2022-05-23 13:29:00,600
20220523132912_000157.MP4,2022-05-23 13:29:00,2022-05-23 13:39:00,600
20220523133907_000158.MP4,2022-05-23 13:39:00,2022-05-23 13:49:00,600
20220523134907_000159.MP4,2022-05-23 13:49:00,2022-05-23 13:59:00,600
20220523135907_000160.MP4,2022-05-23 13:59:01,2022-05-23 14:09:01,600
20220523140907_000161.MP4,2022-05-23 14:09:01,2022-05-23 14:19:01,600
20220523141907_000162.MP4,2022-05-23 14:19:01,2022-05-23 14:29:01,600
20220523142907_000163.MP4,2022-05-23 14:29:01,2022-05-23 14:39:01,600
20220523143907_000164.MP4,2022-05-23 14:39:01,2022-05-23 14:49:01,600
20220523144907_000165.MP4,2022-05-23 14:49:01,2022-05-23 14:59:01,600
20220523145907_000166.MP4,2022-05-23 14:59:01,2022-05-23 15:09:01,600
20220523150907_000167.MP4,2022-05-23 15:09:01,2022-05-23 15:19:01,600
20220523151907_000168.MP4,2022-05-23 15:19:01,2022-05-23 15:29:01,600
20220523152907_000169.MP4,2022-05-23 15:29:01,2022-05-23 15:39:01,600
20220523153907_000170.MP4,2022-05-23 15:39:01,2022-05-23 15:49:01,600
20220523154907_000171.MP4,2022-05-23 15:49:01,2022-05-23 15:59:01,600
20220523155907_000172.MP4,2022-05-23 15:59:01,2022-05-23 16:09:01,600
20220523160907_000173.MP4,2022-05-23 16:09:01,2022-05-23 16:19:01,600
20220523161907_000174.MP4,2022-05-23 16:19:01,2022-05-23 16:29:01,600
20220523162907_000175.MP4,2022-05-23 16:29:01,2022-05-23 16:39:01,600
20220523163907_000176.MP4,2022-05-23 16:39:01,2022-05-23 16:49:01,600
20220523164907_000177.MP4,2022-05-23 16:49:01,2022-05-23 16:59:01,600
20220523165907_000178.MP4,2022-05-23 16:59:01,2022-05-23 17:09:01,600
20220523170907_000179.MP4,2022-05-23 17:09:01,2022-05-23 17:19:01,600
20220523171907_000180.MP4,2022-05-23 17:19:01,2022-05-23 17:29:01,600
20220523172907_000181.MP4,2022-05-23 17:29:01,2022-05-23 17:39:01,600
20220523173907_000182.MP4,2022-05-23 17:39:01,2022-05-23 17:49:01,600
20220523174907_000183.MP4,2022-05-23 17:49:01,2022-05-23 17:59:01,600
20220523175907_000184.MP4,2022-05-23 17:59:01,2022-05-23 18:09:01,600
20220523180907_000185.MP4,2022-05-23 18:09:01,2022-05-23 18:19:01,600
20220523181907_000186.MP4,2022-05-23 18:19:01,2022-05-23 18:29:01,600
20220523182907_000187.MP4,2022-05-23 18:29:01,2022-05-23 18:39:01,600
20220523183907_000188.MP4,2022-05-23 18:39:01,2022-05-23 18:49:01,600
20220523184907_000189.MP4,2022-05-23 18:49:01,2022-05-23 18:59:01,600
20220523185907_000190.MP4,2022-05-23 18:59:01,2022-05-23 19:09:01,600
