label,number_of_samples
HLB_Indecipherable,1425
Video_Insufficient,1425
HLB_Unlabeled,2990
WatchingTV,667
Movies,667
In_Transit_Active,1016
Riding_Elevator_Down,12
In_Transit_Passive_Car,202
Eating,1212
Dining,1212
Using_Computer,5751
Screen,5751
Meeting _Social_Gathering_In_Person,1853
Cooking,182
Prepping_Food,182
Doing_Dishes,45
HLB_Other,3023
Grooming,27
Self_Care,27
Dressing,10
Undressing,10
Packing,118
Unpacking_Something,118
Shopping_Non-Grocery,4
Working_Other,667
In_Transit_Passive_Train,120
Bus,120
Plane,120
Riding_Escalator_Up,10
Riding_Elevator_Up,15
Playing_Musical_Instrument,38
Shopping_Grocery,106
Administering_Child,37
Elder,37
Other_Adult,37
Cleaning,73
Riding_Escalator_Down,2
Doing_Laundry,75
Doing_Common_Housework_Light,272
Playing_With_Pets,30
Dancing,15
Playing_Sports,881
Games,881
Playing_Videogame,309
Loading,7
Unloading_Vehicle,7
total_samples,53191
total_number_of_labels,31788
