label,number_of_samples
HLB_Unlabeled,2424
Dressing,67
Undressing,67
Riding_Elevator_Down,0
In_Transit_Active,488
In_Transit_Passive_Car,0
Packing,266
Unpacking_Something,266
Using_Computer,20018
Screen,20018
Cooking,1889
Prepping_Food,1889
HLB_Other,1956
HLB_Indecipherable,4378
Video_Insufficient,4378
WatchingTV,921
Movies,921
Meeting_Virtual,6308
Eating,2025
Dining,2025
Cleaning,723
Doing_Dishes,353
Doing_Common_Housework_Light,1495
Playing_With_Pets,223
Walking_Pet,980
Exercising_Gym_Stationary_Bicycle,1262
In_Transit_Driving_Car,257
Doing_Common_Housework,83
Grooming,17
Self_Care,17
Meeting _Social_Gathering_In_Person,301
Riding_Elevator_Up,7
Riding_Escalator_Down,2
In_Transit_Passive_Train,2
Bus,2
Plane,2
Relaxing_Passive,632
Doing_Laundry,191
Gardening,24
Shopping_Grocery,173
Loading,23
Unloading_Vehicle,23
total_samples,66319
total_number_of_labels,77096
