label,number_of_samples
Meeting _Social_Gathering_In_Person,7030
HLB_Indecipherable,4635
Video_Insufficient,4635
Packing,150
Unpacking_Something,150
In_Transit_Active,2689
Riding_Elevator_Down,79
Riding_Elevator_Up,79
Dressing,16
Undressing,16
Grooming,104
Self_Care,104
Eating,622
Dining,622
Using_Computer,6721
Screen,6721
Doing_Laundry,42
Cooking,843
Prepping_Food,843
HLB_Unlabeled,1626
Meeting_Virtual,448
Doing_Dishes,172
Working_Other,67
WatchingTV,2344
Movies,2344
Shopping_Grocery,116
HLB_Other,722
Cleaning,166
Shopping_Non-Grocery,25
Riding_Escalator_Up,3
Riding_Escalator_Down,2
In_Bathroom,40
total_samples,61143
total_number_of_labels,44176
