label,number_of_samples
Meeting _Social_Gathering_In_Person,10980
HLB_Other,515
Packing,297
Unpacking_Something,297
Dressing,258
Undressing,258
In_Transit_Active,3009
Riding_Elevator_Down,159
In_Bathroom,345
Riding_Escalator_Up,14
HLB_Indecipherable,5778
Video_Insufficient,5778
Riding_Elevator_Up,160
Using_Computer,4661
Screen,4661
Meeting_Virtual,272
Doing_Alternative_Exercise,4
Therapy,4
Stretching,4
HLB_Unlabeled,1762
Grooming,1265
Self_Care,1265
Cooking,30
Prepping_Food,30
Eating,2498
Dining,2498
WatchingTV,2774
Movies,2774
Doing_Common_Housework,162
Shopping_Grocery,18
Sleeping,679
Relaxing_Passive,1454
Riding_Escalator_Down,6
Playing_With_Pets,9
Administering_Care_(Child,71
Elder,71
Other_Adult),71
Doing_Common_Housework_Light,7
Shopping_Non-Grocery,18
Doing_Laundry,164
In_Transit_Passive_Car,828
Meeting_Formal_Gathering_In_Person,331
Cleaning,122
total_samples,59988
total_number_of_labels,56361
