label,number_of_samples
HLB_Indecipherable,3704
Video_Insufficient,3704
HLB_Unlabeled,1279
In_Transit_Active,1015
Riding_Elevator_Down,6
In_Transit_Driving_Car,1577
Using_Computer,2118
Screen,2118
Meeting_Virtual,149
Doing_Dishes,315
Cleaning,548
HLB_Other,1325
Doing_Common_Housework,339
Cooking,1040
Prepping_Food,1040
Eating,1586
Dining,1586
Meeting _Social_Gathering_In_Person,4659
WatchingTV,6913
Movies,6913
Playing_With_Pets,897
Doing_Laundry,239
Dressing,73
Undressing,73
Packing,22
Unpacking_Something,22
Riding_Elevator_Up,4
Playing_Videogame,1486
Playing_Sports,384
Games,384
Doing_Common_Housework_Light,90
Grooming,60
Self_Care,60
In_Transit_Passive_Car,172
Riding_Escalator_Up,2
In_Transit_Passive_Train,162
Bus,162
Plane,162
Relaxing_Passive,169
Loading,1
Unloading_Vehicle,1
Dancing,5
total_samples,66907
total_number_of_labels,46564
