label,number_of_samples
HLB_Indecipherable,4440
Video_Insufficient,4440
Meeting_Formal_Gathering_In_Person,1787
In_Transit_Active,2843
In_Bathroom,30
Riding_Elevator_Down,9
Packing,549
Unpacking_Something,549
Cleaning,277
Meeting _Social_Gathering_In_Person,6909
Using_Computer,16013
Screen,16013
Working_Other,111
Cooking,463
Prepping_Food,463
Doing_Dishes,40
Eating,2230
Dining,2230
WatchingTV,2375
Movies,2375
HLB_Unlabeled,700
Relaxing_Passive,439
Doing_Common_Housework,27
Dressing,140
Undressing,140
HLB_Other,762
Meeting_Virtual,1326
Grooming,312
Self_Care,312
Riding_Elevator_Up,10
Watching_Lecture,79
Doing_Common_Housework_Light,27
Sleeping,1801
In_Transit_Passive_Train,410
Bus,410
Plane,410
Riding_Escalator_Up,5
Shopping_Non-Grocery,291
Doing_Laundry,3
total_samples,60341
total_number_of_labels,71750
