label,number_of_samples
HLB_Other,10631
WatchingTV,6629
Movies,6629
In_Transit_Active,1453
Riding_Elevator_Down,13
In_Transit_Passive_Car,304
Dressing,236
Undressing,236
Packing,126
Unpacking_Something,126
Grooming,151
Self_Care,151
Riding_Elevator_Up,13
Working_Other,452
Using_Computer,7712
Screen,7712
Eating,3544
Dining,3544
HLB_Indecipherable,1817
Video_Insufficient,1817
In_Transit_Passive_Train,208
Bus,208
Plane,208
Playing_Videogame,2716
Cooking,702
Prepping_Food,702
Doing_Laundry,53
Doing_Common_Housework,180
Riding_Escalator_Up,2
Shopping_Non-Grocery,531
Riding_Escalator_Down,3
Meeting _Social_Gathering_In_Person,1991
Playing_With_Pets,4
Doing_Dishes,134
Meeting_Virtual,178
Doing_Common_Housework_Light,14
Shopping_Grocery,153
Cleaning,33
Doing_Home_Repair,70
total_samples,65258
total_number_of_labels,61386
