label,number_of_samples
HLB_Other,2859
HLB_Unlabeled,760
Using_Computer,1075
Screen,1075
Riding_Elevator_Down,6
In_Transit_Driving_Car,1965
In_Transit_Passive_Car,513
Eating,1859
Dining,1859
WatchingTV,1175
Movies,1175
HLB_Indecipherable,2192
Video_Insufficient,2192
Cleaning,46
Playing_Videogame,78
Dressing,113
Undressing,113
Working_Other,942
In_Transit_Active,812
Shopping_Non-Grocery,179
Doing_Resistance_Training,143
Exercising_Gym_Other,294
Loading,39
Unloading_Vehicle,39
Doing_Common_Housework,526
Meeting _Social_Gathering_In_Person,5930
Cooking,67
Prepping_Food,67
Playing_With_Pets,96
Shopping_Grocery,172
Packing,23
Unpacking_Something,23
Doing_Common_Housework_Light,2
Riding_Elevator_Up,4
Doing_Laundry,37
Doing_Dishes,50
total_samples,66529
total_number_of_labels,28500
