label,number_of_samples
HLB_Indecipherable,8341
Video_Insufficient,8341
Meeting _Social_Gathering_In_Person,3255
In_Transit_Active,3103
Riding_Elevator_Down,49
HLB_Unlabeled,390
Riding_Elevator_Up,63
Eating,2557
Dining,2557
Using_Computer,9684
Screen,9684
Grooming,309
Self_Care,309
Packing,348
Unpacking_Something,348
Cooking,33
Prepping_Food,33
Relaxing_Passive,154
Dressing,107
Undressing,107
Doing_Common_Housework_Light,226
HLB_Other,371
In_Bathroom,12
Riding_Escalator_Up,2
Meeting_Virtual,778
Doing_Common_Housework,276
Doing_Laundry,63
Working_Other,687
Doing_Home_Repair_Light,73
Cleaning,293
Doing_Home_Repair,26
Doing_Resistance_Training,293
WatchingTV,92
Movies,92
Playing_Videogame,528
Meeting_Formal_Gathering_In_Person,862
Shopping_Grocery,68
In_Transit_Passive_Train,90
Bus,90
Plane,90
Exercising_Gym_Other,176
Doing_Alternative_Exercise,3
Therapy,3
Stretching,3
Cycling_Regular_Bicycle,118
total_samples,59609
total_number_of_labels,55087
