label,number_of_samples
HLB_Indecipherable,4259
Video_Insufficient,4259
Meeting _Social_Gathering_In_Person,7756
Packing,120
Unpacking_Something,120
In_Transit_Active,3248
Riding_Elevator_Down,25
Riding_Elevator_Up,80
Using_Computer,12488
Screen,12488
Eating,2903
Dining,2903
WatchingTV,3239
Movies,3239
Meeting_Virtual,576
HLB_Unlabeled,785
HLB_Other,41
In_Bathroom,55
Dressing,335
Undressing,335
Riding_Escalator_Up,14
Playing_Sports,807
Games,807
Cleaning,27
Relaxing_Passive,3044
Shopping_Grocery,22
In_Transit_Passive_Train,194
Bus,194
Plane,194
Sleeping,146
Grooming,28
Self_Care,28
Riding_Escalator_Down,1
Doing_Laundry,23
Doing_Common_Housework_Light,27
Meeting_Formal_Gathering_In_Person,275
Shopping_Non-Grocery,8
Cooking,8
Prepping_Food,8
total_samples,60004
total_number_of_labels,65109
