label,number_of_samples
HLB_Indecipherable,6396
Video_Insufficient,6396
Using_Computer,9494
Screen,9494
Packing,177
Unpacking_Something,177
Meeting _Social_Gathering_In_Person,4594
Dressing,178
Undressing,178
In_Transit_Active,2706
WatchingTV,442
Movies,442
Riding_Escalator_Up,13
Riding_Elevator_Up,61
HLB_Other,416
Relaxing_Passive,1021
Doing_Common_Housework,31
Grooming,186
Self_Care,186
Riding_Elevator_Down,51
In_Transit_Passive_Car,239
Eating,388
Dining,388
Riding_Escalator_Down,9
Cooking,1405
Prepping_Food,1405
Meeting_Virtual,411
Doing_Dishes,52
In_Transit_Passive_Train,397
Bus,397
Plane,397
In_Bathroom,178
HLB_Unlabeled,1014
Shopping_Grocery,19
In_Transit_Driving_Car,448
total_samples,61968
total_number_of_labels,49786
