label,number_of_samples
Meeting _Social_Gathering_In_Person,2454
HLB_Indecipherable,1139
Video_Insufficient,1139
Packing,145
Unpacking_Something,145
In_Transit_Active,2664
Riding_Elevator_Down,19
In_Transit_Passive_Train,939
Bus,939
Plane,939
Dressing,299
Undressing,299
Doing_Common_Housework_Light,248
Shopping_Grocery,233
Eating,1680
Dining,1680
Using_Computer,18131
Screen,18131
Cleaning,29
HLB_Other,156
Administering_Care_(Child,1
Elder,1
Other_Adult),1
Doing_Alternative_Exercise,5
Therapy,5
Stretching,5
Doing_Dishes,54
Cooking,326
Prepping_Food,326
WatchingTV,1566
Movies,1566
Relaxing_Passive,3385
In_Bathroom,219
Grooming,124
Self_Care,124
Meeting_Virtual,1548
HLB_Unlabeled,2
Shopping_Non-Grocery,551
Riding_Elevator_Up,13
In_Transit_Passive_Car,291
Playing_Videogame,341
Doing_Common_Housework,25
total_samples,60192
total_number_of_labels,61887
