label,number_of_samples
HLB_Indecipherable,4270
Video_Insufficient,4270
HLB_Unlabeled,1651
In_Transit_Active,2373
Riding_Elevator_Down,21
Using_Computer,12694
Screen,12694
Grooming,221
Self_Care,221
Packing,310
Unpacking_Something,310
Meeting_Virtual,450
HLB_Other,1203
Doing_Common_Housework,138
Doing_Laundry,727
Doing_Dishes,420
Cooking,1613
Prepping_Food,1613
Cleaning,386
Eating,2271
Dining,2271
WatchingTV,5410
Movies,5410
Dressing,79
Undressing,79
Meeting _Social_Gathering_In_Person,5906
Riding_Elevator_Up,24
Working_Other,794
Meeting_Formal_Gathering_In_Person,790
Playing_Videogame,1661
Shopping_Non-Grocery,24
Riding_Escalator_Up,8
Relaxing_Passive,606
In_Bathroom,7
In_Transit_Passive_Train,482
Bus,482
Plane,482
Riding_Escalator_Down,4
Doing_Common_Housework_Light,76
Shopping_Grocery,95
total_samples,67121
total_number_of_labels,72546
