label,number_of_samples
HLB_Indecipherable,488
Video_Insufficient,488
Meeting_Formal_Gathering_In_Person,2077
In_Transit_Active,3217
Dressing,98
Undressing,98
Grooming,123
Self_Care,123
Doing_Common_Housework,12
Doing_Laundry,155
Relaxing_Passive,1007
Cleaning,36
Doing_Common_Housework_Light,25
Packing,135
Unpacking_Something,135
Using_Computer,18918
Screen,18918
HLB_Other,3359
Eating,2227
Dining,2227
WatchingTV,4675
Movies,4675
Meeting _Social_Gathering_In_Person,6022
Playing_Videogame,3984
Cooking,17
Prepping_Food,17
HLB_Unlabeled,377
Meeting_Virtual,1382
Working_Other,227
Loading,2
Unloading_Vehicle,2
Shopping_Non-Grocery,186
In_Transit_Passive_Train,86
Bus,86
Plane,86
Riding_Elevator_Up,2
Riding_Elevator_Down,3
Riding_Escalator_Up,9
Shopping_Grocery,48
Riding_Escalator_Down,3
Administering_Child,0
Elder,0
Other_Adult,0
Playing_Sports,8
Games,8
Doing_Dishes,1
total_samples,68937
total_number_of_labels,75772
