label,number_of_samples
HLB_Indecipherable,1403
Video_Insufficient,1403
Meeting_Formal_Gathering_In_Person,2154
Dressing,301
Undressing,301
In_Transit_Active,1671
Riding_Elevator_Down,26
In_Bathroom,68
Cooking,196
Prepping_Food,196
Using_Computer,20359
Screen,20359
Packing,134
Unpacking_Something,134
Meeting_Virtual,426
HLB_Other,293
WatchingTV,2509
Movies,2509
Eating,1159
Dining,1159
Cleaning,71
Grooming,89
Self_Care,89
Riding_Elevator_Up,31
Shopping_Grocery,132
Doing_Dishes,2
Playing_Videogame,1990
Meeting _Social_Gathering_In_Person,8840
total_samples,59860
total_number_of_labels,68004
