label,number_of_samples
HLB_Indecipherable,13654
Video_Insufficient,13654
HLB_Unlabeled,1212
Doing_Alternative_Exercise,6
Therapy,6
Stretching,6
In_Transit_Active,2639
Riding_Elevator_Down,44
In_Bathroom,236
Using_Computer,4545
Screen,4545
WatchingTV,440
Movies,440
Playing_Musical_Instrument,523
Working_Other,44
Dressing,122
Undressing,122
Cleaning,208
Eating,532
Dining,532
Packing,105
Unpacking_Something,105
Meeting_Formal_Gathering_In_Person,971
HLB_Other,1645
Riding_Elevator_Up,43
Meeting _Social_Gathering_In_Person,1372
Doing_Dishes,29
Cooking,277
Prepping_Food,277
Watching_Lecture,311
Meeting_Virtual,240
Relaxing_Passive,53
In_Transit_Passive_Train,131
Bus,131
Plane,131
Grooming,41
Self_Care,41
Shopping_Non-Grocery,52
Shopping_Grocery,9
Cycling_Regular_Bicycle,82
total_samples,60481
total_number_of_labels,49556
